"name","dHf0","source"
H2O,-285.8,Kleerebezem et al. 2010
H+,0,Kleerebezem et al. 2010
HO-,-230.0,CRC Handbook of Chemistry and Physics
H2(aq),unknown,none
H2(g),0,Kleerebezem et al. 2010
O2(g),0,Kleerebezem et al. 2010
O2(aq),unknown,none
N2(aq),0,Kleerebezem et al. 2010
N2(g),0,CRC Handbook of Chemistry and Physics
NH3(aq),-76.4,Thermal Properties of Uni-Univalent Electrolytes 1965
NH3(g),-45.9,CRC Handbook of Chemistry and Physics
NH4+,-133.3,Kleerebezem et al. 2010
NO2-,-107.0,Kleerebezem et al. 2010
NO3-,-173.0,Kleerebezem et al. 2010
CH4(aq),unknown,none
CH4(g),-74.8,Kleerebezem et al. 2010
CO2(aq),unknown,none
CO2(g),-393.5,Kleerebezem et al. 2010
H2CO3,unknown,none
HCO3-,-692.0,Kleerebezem et al. 2010
CO3-2,unknown,none
SO4-2,-909.6,Kleerebezem et al. 2010
H2S(aq),unknown,none
H2S(g),unknown,none
HS-,-17.6,Kleerebezem et al. 2010
H3PO4,-1271.7,CRC Handbook of Chemistry and Physics
H2PO4-,-1296.3,Kleerebezem et al. 2010
HPO4-2,unknown,none
PO4-3,unknown,none
Na+,-240.1,CRC Handbook of Chemistry and Physics
K+,unknown,none
Mg+2,unknown,none
Ca+2,unknown,none
Cl-,-167.2,CRC Handbook of Chemistry and Physics
Mo-2,unknown,none
Mn+2,-220.7,Kleerebezem et al. 2010
Cu+2,unknown,none
Co+2,unknown,none
Zn+2,unknown,none
Lac(-),-687.0,Kleerebezem et al. 2010
Lac,-694.1,CRC Handbook of Chemistry and Physics
Ac(-),-485.8,Kleerebezem et al. 2010
Ac,unknown,none
Gly,-676.0,Kleerebezem et al. 2010
Pyruvate,-596.0,Kleerebezem et al. 2010
Palmitate,-891.4,Kleerebezem et al. 2010
ATP,unknown,none
ADP,unknown,none
NADH,unknown,none
NAD+,unknown,none
Biomass(Hoover),unknown,none
Biomass(Heijnen),-91.0,Kleerebezem et al. 2010
